tick,nr_active,kernel,bitshift,lut,poly,errBS,errLUT,errPoly,errPctBS,errPctLUT,errPctPoly
150,0.878418,0.783691,0.774414,0.781738,0.777344,0.009277,0.001953,0.006348,1.1838,0.2492,0.8100
151,0.708008,0.777344,0.770020,0.774902,0.771484,0.007324,0.002441,0.005859,0.9422,0.3141,0.7538
152,0.711426,0.771973,0.766602,0.768066,0.766113,0.005371,0.003906,0.005859,0.6958,0.5060,0.7590
153,0.833984,0.777344,0.770508,0.773926,0.770996,0.006836,0.003418,0.006348,0.8794,0.4397,0.8166
154,0.716309,0.771973,0.767090,0.768555,0.766113,0.004883,0.003418,0.005859,0.6325,0.4428,0.7590
155,0.780273,0.772949,0.767578,0.769531,0.766602,0.005371,0.003418,0.006348,0.6949,0.4422,0.8212
156,0.791504,0.774902,0.769043,0.770508,0.768066,0.005859,0.004395,0.006836,0.7561,0.5671,0.8822
157,0.828125,0.779297,0.772949,0.773438,0.772461,0.006348,0.005859,0.006836,0.8145,0.7519,0.8772
158,0.788574,0.780273,0.773926,0.774414,0.773438,0.006348,0.005859,0.006836,0.8135,0.7509,0.8761
159,0.758789,0.778320,0.772949,0.771973,0.771973,0.005371,0.006348,0.006348,0.6901,0.8156,0.8156
160,0.715332,0.772949,0.769531,0.768555,0.767090,0.003418,0.004395,0.005859,0.4422,0.5685,0.7581
161,0.861328,0.780273,0.775391,0.776367,0.774414,0.004883,0.003906,0.005859,0.6258,0.5006,0.7509
162,0.806152,0.782715,0.777344,0.779297,0.776367,0.005371,0.003418,0.006348,0.6862,0.4367,0.8110
163,0.784180,0.783203,0.777832,0.780762,0.776367,0.005371,0.002441,0.006836,0.6858,0.3117,0.8728
164,0.803223,0.785156,0.779297,0.782227,0.777832,0.005859,0.002930,0.007324,0.7463,0.3731,0.9328
165,0.714844,0.779297,0.775391,0.775391,0.772461,0.003906,0.003906,0.006836,0.5013,0.5013,0.8772
166,0.823730,0.783203,0.778320,0.780762,0.776367,0.004883,0.002441,0.006836,0.6234,0.3117,0.8728
167,0.809570,0.785645,0.780273,0.782715,0.778320,0.005371,0.002930,0.007324,0.6837,0.3729,0.9323
168,0.789551,0.786133,0.781250,0.781250,0.778809,0.004883,0.004883,0.007324,0.6211,0.6211,0.9317
169,0.794922,0.787109,0.781738,0.781738,0.779785,0.005371,0.005371,0.007324,0.6824,0.6824,0.9305
170,0.692871,0.779297,0.775879,0.773438,0.772461,0.003418,0.005859,0.006836,0.4386,0.7519,0.8772
171,0.764648,0.777832,0.774902,0.772461,0.771484,0.002930,0.005371,0.006348,0.3766,0.6905,0.8161
172,0.846191,0.783691,0.779297,0.778809,0.776855,0.004395,0.004883,0.006836,0.5607,0.6231,0.8723
173,0.828125,0.787598,0.782715,0.780762,0.780273,0.004883,0.006836,0.007324,0.6200,0.8679,0.9299
174,0.757324,0.785156,0.780762,0.778809,0.778320,0.004395,0.006348,0.006836,0.5597,0.8085,0.8706
175,0.797852,0.786621,0.782227,0.778320,0.779297,0.004395,0.008301,0.007324,0.5587,1.0552,0.9311
176,0.863770,0.792969,0.787109,0.783691,0.785645,0.005859,0.009277,0.007324,0.7389,1.1700,0.9236
177,0.751953,0.789551,0.785156,0.782227,0.782715,0.004395,0.007324,0.006836,0.5566,0.9276,0.8658
178,0.712402,0.783203,0.780762,0.774902,0.776367,0.002441,0.008301,0.006836,0.3117,1.0599,0.8728
179,0.729492,0.778809,0.777832,0.769531,0.771973,0.000977,0.009277,0.006836,0.1254,1.1912,0.8777
180,0.795410,0.780273,0.778809,0.770996,0.773438,0.001465,0.009277,0.006836,0.1877,1.1890,0.8761
181,0.707031,0.773926,0.774414,0.763672,0.767578,0.000488,0.010254,0.006348,0.0631,1.3249,0.8202
182,0.714355,0.769043,0.770508,0.761230,0.763184,0.001465,0.007812,0.005859,0.1905,1.0159,0.7619
183,0.692383,0.762695,0.765625,0.755859,0.756836,0.002930,0.006836,0.005859,0.3841,0.8963,0.7682
184,0.805176,0.766113,0.768066,0.761230,0.760254,0.001953,0.004883,0.005859,0.2549,0.6373,0.7648
185,0.693359,0.760254,0.763184,0.755859,0.754395,0.002930,0.004395,0.005859,0.3854,0.5780,0.7707
186,0.724121,0.757324,0.760742,0.754395,0.751465,0.003418,0.002930,0.005859,0.4513,0.3868,0.7737
187,0.819336,0.762695,0.764160,0.758789,0.756348,0.001465,0.003906,0.006348,0.1921,0.5122,0.8323
188,0.807129,0.766602,0.767090,0.761230,0.759766,0.000488,0.005371,0.006836,0.0637,0.7006,0.8917
189,0.695312,0.760742,0.762695,0.756348,0.754395,0.001953,0.004395,0.006348,0.2567,0.5777,0.8344
190,0.851074,0.768066,0.768066,0.764648,0.761719,0.000000,0.003418,0.006348,0.0000,0.4450,0.8264
191,0.750977,0.766602,0.767090,0.764160,0.760742,0.000488,0.002441,0.005859,0.0637,0.3185,0.7643
192,0.855957,0.773926,0.772461,0.772461,0.768066,0.001465,0.001465,0.005859,0.1893,0.1893,0.7571
193,0.728516,0.770020,0.770020,0.769531,0.764648,0.000000,0.000488,0.005371,0.0000,0.0634,0.6975
194,0.751465,0.768066,0.769043,0.767578,0.763184,0.000977,0.000488,0.004883,0.1271,0.0636,0.6357
195,0.799805,0.770996,0.770996,0.771484,0.765625,0.000000,0.000488,0.005371,0.0000,0.0633,0.6966
196,0.756348,0.769531,0.770020,0.771973,0.764648,0.000488,0.002441,0.004883,0.0635,0.3173,0.6345
197,0.683594,0.762207,0.764648,0.766113,0.757812,0.002441,0.003906,0.004395,0.3203,0.5125,0.5766
198,0.722168,0.758789,0.762207,0.761719,0.754395,0.003418,0.002930,0.004395,0.4505,0.3861,0.5792
199,0.778320,0.760742,0.763184,0.762695,0.755859,0.002441,0.001953,0.004883,0.3209,0.2567,0.6418
200,0.285645,0.722656,0.733398,0.723145,0.717773,0.010742,0.000488,0.004883,1.4865,0.0676,0.6757
201,0.326172,0.690430,0.708008,0.690430,0.686035,0.017578,0.000000,0.004395,2.5460,0.0000,0.6365
202,0.270996,0.656738,0.680664,0.657227,0.652344,0.023926,0.000488,0.004395,3.6431,0.0743,0.6691
203,0.231445,0.622559,0.652344,0.621582,0.618164,0.029785,0.000977,0.004395,4.7843,0.1569,0.7059
204,0.256348,0.592773,0.627441,0.591797,0.588867,0.034668,0.000977,0.003906,5.8484,0.1647,0.6590
205,0.304688,0.569336,0.607422,0.569824,0.565430,0.038086,0.000488,0.003906,6.6895,0.0858,0.6861
206,0.321777,0.549316,0.589844,0.549805,0.545410,0.040527,0.000488,0.003906,7.3778,0.0889,0.7111
207,0.235352,0.523926,0.567871,0.524902,0.520020,0.043945,0.000977,0.003906,8.3877,0.1864,0.7456
208,0.215332,0.499023,0.545898,0.498535,0.495117,0.046875,0.000488,0.003906,9.3933,0.0978,0.7828
209,0.259766,0.479492,0.528320,0.480469,0.475586,0.048828,0.000977,0.003906,10.1833,0.2037,0.8147
210,0.315918,0.466309,0.515137,0.466797,0.462402,0.048828,0.000488,0.003906,10.4712,0.1047,0.8377
211,0.291992,0.452148,0.501465,0.454102,0.448242,0.049316,0.001953,0.003906,10.9071,0.4320,0.8639
212,0.201660,0.431641,0.482422,0.432617,0.428223,0.050781,0.000977,0.003418,11.7647,0.2262,0.7919
213,0.212891,0.414062,0.465820,0.415039,0.410156,0.051758,0.000977,0.003906,12.5000,0.2358,0.9434
214,0.200684,0.396973,0.449219,0.396484,0.392578,0.052246,0.000488,0.004395,13.1611,0.1230,1.1070
215,0.309570,0.389648,0.440430,0.390625,0.385254,0.050781,0.000977,0.004395,13.0326,0.2506,1.1278
216,0.291504,0.381348,0.431152,0.381836,0.376953,0.049805,0.000488,0.004395,13.0602,0.1280,1.1524
217,0.291016,0.374023,0.422363,0.375000,0.369629,0.048340,0.000977,0.004395,12.9243,0.2611,1.1749
218,0.335449,0.370605,0.416504,0.371582,0.366699,0.045898,0.000977,0.003906,12.3847,0.2635,1.0540
219,0.266602,0.361816,0.407227,0.362305,0.357910,0.045410,0.000488,0.003906,12.5506,0.1350,1.0796
220,0.254395,0.353027,0.397461,0.354004,0.349121,0.044434,0.000977,0.003906,12.5864,0.2766,1.1065
221,0.207031,0.341309,0.385742,0.342773,0.336914,0.044434,0.001465,0.004395,13.0186,0.4292,1.2876
222,0.272949,0.335449,0.378418,0.337402,0.331055,0.042969,0.001953,0.004395,12.8093,0.5822,1.3100
223,0.293945,0.332031,0.373047,0.332031,0.327637,0.041016,0.000000,0.004395,12.3529,0.0000,1.3235
224,0.336426,0.332520,0.371094,0.332031,0.328125,0.038574,0.000488,0.004395,11.6006,0.1468,1.3216
225,0.263672,0.326660,0.364258,0.326172,0.322754,0.037598,0.000488,0.003906,11.5097,0.1495,1.1958
226,0.302246,0.324219,0.360352,0.325684,0.320801,0.036133,0.001465,0.003418,11.1446,0.4518,1.0542
227,0.319336,0.323730,0.357422,0.323242,0.320312,0.033691,0.000488,0.003418,10.4072,0.1508,1.0558
228,0.248535,0.317383,0.350586,0.317383,0.313965,0.033203,0.000000,0.003418,10.4615,0.0000,1.0769
229,0.328125,0.318359,0.349609,0.316895,0.314453,0.031250,0.001465,0.003906,9.8160,0.4601,1.2270
230,0.310059,0.317383,0.347168,0.315430,0.313477,0.029785,0.001953,0.003906,9.3846,0.6154,1.2308
231,0.215820,0.309082,0.338867,0.308105,0.305176,0.029785,0.000977,0.003906,9.6367,0.3160,1.2638
232,0.199707,0.300293,0.330078,0.299316,0.295898,0.029785,0.000977,0.004395,9.9187,0.3252,1.4634
233,0.261719,0.296875,0.325684,0.296875,0.292480,0.028809,0.000000,0.004395,9.7039,0.0000,1.4803
234,0.263184,0.293945,0.321777,0.293945,0.290039,0.027832,0.000000,0.003906,9.4684,0.0000,1.3289
235,0.276367,0.292480,0.318848,0.291016,0.288574,0.026367,0.001465,0.003906,9.0150,0.5008,1.3356
236,0.316895,0.294922,0.318848,0.293945,0.290039,0.023926,0.000977,0.004883,8.1126,0.3311,1.6556
237,0.255859,0.291504,0.314941,0.289062,0.286621,0.023438,0.002441,0.004883,8.0402,0.8375,1.6750
238,0.229980,0.286133,0.309570,0.283691,0.281250,0.023438,0.002441,0.004883,8.1911,0.8532,1.7065
239,0.334961,0.290527,0.311035,0.288574,0.284668,0.020508,0.001953,0.005859,7.0588,0.6723,2.0168
240,0.295410,0.291016,0.310059,0.289062,0.285156,0.019043,0.001953,0.005859,6.5436,0.6711,2.0134
241,0.222656,0.285156,0.304688,0.283203,0.279785,0.019531,0.001953,0.005371,6.8493,0.6849,1.8836
242,0.206543,0.278809,0.298340,0.278320,0.273438,0.019531,0.000488,0.005371,7.0053,0.1751,1.9264
243,0.260742,0.277344,0.295898,0.275391,0.271973,0.018555,0.001953,0.005371,6.6901,0.7042,1.9366
244,0.299316,0.279297,0.296387,0.278809,0.273926,0.017090,0.000488,0.005371,6.1189,0.1748,1.9231
245,0.333984,0.283691,0.298828,0.281250,0.278320,0.015137,0.002441,0.005371,5.3356,0.8606,1.8933
246,0.265137,0.281738,0.296387,0.279297,0.276855,0.014648,0.002441,0.004883,5.1993,0.8666,1.7331
247,0.282227,0.282227,0.295898,0.280762,0.276855,0.013672,0.001465,0.005371,4.8443,0.5190,1.9031
248,0.334473,0.286621,0.298340,0.284668,0.280762,0.011719,0.001953,0.005859,4.0886,0.6814,2.0443
249,0.214844,0.280762,0.292969,0.279297,0.274902,0.012207,0.001465,0.005859,4.3478,0.5217,2.0870
250,0.308105,0.283203,0.293945,0.282715,0.276855,0.010742,0.000488,0.006348,3.7931,0.1724,2.2414
251,0.204102,0.276855,0.288574,0.274414,0.270508,0.011719,0.002441,0.006348,4.2328,0.8818,2.2928
252,0.270020,0.275879,0.287598,0.272949,0.270020,0.011719,0.002930,0.005859,4.2478,1.0619,2.1239
253,0.246094,0.273438,0.285156,0.270996,0.267578,0.011719,0.002441,0.005859,4.2857,0.8929,2.1429
254,0.313965,0.276855,0.287109,0.272461,0.270996,0.010254,0.004395,0.005859,3.7037,1.5873,2.1164
255,0.297852,0.278809,0.288086,0.274902,0.272461,0.009277,0.003906,0.006348,3.3275,1.4011,2.2767
256,0.264160,0.277344,0.286621,0.272461,0.271484,0.009277,0.004883,0.005859,3.3451,1.7606,2.1127
257,0.230469,0.273438,0.283203,0.269531,0.267578,0.009766,0.003906,0.005859,3.5714,1.4286,2.1429
258,0.310059,0.276855,0.284668,0.271973,0.270508,0.007812,0.004883,0.006348,2.8219,1.7637,2.2928
259,0.266602,0.275879,0.283691,0.272461,0.269531,0.007812,0.003418,0.006348,2.8319,1.2389,2.3009
260,0.240723,0.272949,0.280762,0.270508,0.266602,0.007812,0.002441,0.006348,2.8623,0.8945,2.3256
261,0.339844,0.278320,0.284668,0.274414,0.271973,0.006348,0.003906,0.006348,2.2807,1.4035,2.2807
262,0.313965,0.281250,0.286621,0.276367,0.274902,0.005371,0.004883,0.006348,1.9097,1.7361,2.2569
263,0.250977,0.278809,0.284668,0.274902,0.272461,0.005859,0.003906,0.006348,2.1016,1.4011,2.2767
264,0.270020,0.277832,0.283691,0.272949,0.271973,0.005859,0.004883,0.005859,2.1090,1.7575,2.1090
265,0.208984,0.271973,0.278809,0.268066,0.266602,0.006836,0.003906,0.005371,2.5135,1.4363,1.9749
266,0.304199,0.274902,0.280273,0.271484,0.269043,0.005371,0.003418,0.005859,1.9538,1.2433,2.1314
267,0.313477,0.278320,0.282715,0.276367,0.271973,0.004395,0.001953,0.006348,1.5789,0.7018,2.2807
268,0.205566,0.272461,0.277832,0.270996,0.266113,0.005371,0.001465,0.006348,1.9713,0.5376,2.3297
269,0.324219,0.276855,0.280762,0.273438,0.270508,0.003906,0.003418,0.006348,1.4109,1.2346,2.2928
270,0.339355,0.282227,0.284668,0.278320,0.275391,0.002441,0.003906,0.006836,0.8651,1.3841,2.4221
271,0.325195,0.286133,0.287109,0.280762,0.278809,0.000977,0.005371,0.007324,0.3413,1.8771,2.5597
272,0.303223,0.287598,0.288086,0.282227,0.280273,0.000488,0.005371,0.007324,0.1698,1.8676,2.5467
273,0.240234,0.283691,0.285156,0.277344,0.276855,0.001465,0.006348,0.006836,0.5164,2.2375,2.4096
274,0.276855,0.282715,0.284668,0.276855,0.276367,0.001953,0.005859,0.006348,0.6908,2.0725,2.2453
275,0.245117,0.279297,0.282227,0.274414,0.273438,0.002930,0.004883,0.005859,1.0490,1.7483,2.0979
276,0.297363,0.280762,0.283203,0.274902,0.274902,0.002441,0.005859,0.005859,0.8696,2.0870,2.0870
277,0.277344,0.280273,0.282715,0.273438,0.274414,0.002441,0.006836,0.005859,0.8711,2.4390,2.0906
278,0.237793,0.276855,0.279785,0.270020,0.270508,0.002930,0.006836,0.006348,1.0582,2.4691,2.2928
279,0.217773,0.271973,0.275879,0.264648,0.265625,0.003906,0.007324,0.006348,1.4363,2.6930,2.3339
280,0.242676,0.269531,0.273926,0.263184,0.263184,0.004395,0.006348,0.006348,1.6304,2.3551,2.3551
281,0.333984,0.274902,0.277344,0.267090,0.268066,0.002441,0.007812,0.006836,0.8881,2.8419,2.4867
282,0.308105,0.277832,0.279297,0.268555,0.270996,0.001465,0.009277,0.006836,0.5272,3.3392,2.4605
283,0.317383,0.281250,0.281738,0.272949,0.274414,0.000488,0.008301,0.006836,0.1736,2.9514,2.4306
284,0.242676,0.277832,0.279297,0.270508,0.270996,0.001465,0.007324,0.006836,0.5272,2.6362,2.4605
285,0.261719,0.276367,0.278320,0.268066,0.269531,0.001953,0.008301,0.006836,0.7067,3.0035,2.4735
286,0.231934,0.272461,0.275391,0.266113,0.266113,0.002930,0.006348,0.006348,1.0753,2.3297,2.3297
287,0.336914,0.277832,0.279297,0.270996,0.271484,0.001465,0.006836,0.006348,0.5272,2.4605,2.2847
288,0.303223,0.280273,0.280762,0.271484,0.273438,0.000488,0.008789,0.006836,0.1742,3.1359,2.4390
289,0.210938,0.274414,0.276855,0.268066,0.268066,0.002441,0.006348,0.006348,0.8897,2.3132,2.3132
290,0.315918,0.277832,0.279297,0.272461,0.271484,0.001465,0.005371,0.006348,0.5272,1.9332,2.2847
291,0.327148,0.282227,0.282227,0.277344,0.275391,0.000000,0.004883,0.006836,0.0000,1.7301,2.4221
292,0.309082,0.284668,0.283691,0.279297,0.277344,0.000977,0.005371,0.007324,0.3431,1.8868,2.5729
293,0.328125,0.288574,0.286621,0.284180,0.280762,0.001953,0.004395,0.007812,0.6768,1.5228,2.7073
294,0.310059,0.290527,0.288086,0.286621,0.282227,0.002441,0.003906,0.008301,0.8403,1.3445,2.8571
295,0.211914,0.284180,0.283691,0.278809,0.275879,0.000488,0.005371,0.008301,0.1718,1.8900,2.9210
296,0.230957,0.279785,0.280273,0.272949,0.271484,0.000488,0.006836,0.008301,0.1745,2.4433,2.9668
297,0.220703,0.274902,0.276855,0.269043,0.267090,0.001953,0.005859,0.007812,0.7105,2.1314,2.8419
298,0.257324,0.273438,0.275391,0.268066,0.266113,0.001953,0.005371,0.007324,0.7143,1.9643,2.6786
299,0.270508,0.272949,0.274902,0.269043,0.266113,0.001953,0.003906,0.006836,0.7156,1.4311,2.5045
